Latitude,Longitude,Distrito,Concelho,Mes,Dia,temp_12h,rh_12h,ws_12h,pr_dia,FFMC,ISI,DMC,DC,BUI,FWI,DSR,incendio
40.9572200001611,-8.56914299991396,Aveiro,Santa Maria da Feira,7,29,23.9,72,9.2,0.0,85.0477,3.3721,7.644,23.006,8.3511,3.1814,0.210965,0
38.7135380003187,-9.41764599998792,Lisboa,Cascais,8,28,20.5,67,31.3,0.3,85.0477,10.2693,7.4715,21.694,8.0295,9.4078,1.437612,0
38.6665530003442,-9.15380000008477,Setúbal,Almada,7,13,23.6,42,21.5,0.0,88.8382,10.7226,9.3645,22.952,9.3552,10.4261,1.724441,1
41.0111111111111,-7.92638888888889,Viseu,Castro Daire,3,16,13.8,64,9.8,0.0,85.0477,3.4756,6.9143,17.188,6.9117,2.9376,0.183192,0
40.9298719999525,-8.50737699985504,Aveiro,Santa Maria da Feira,3,8,12.6,65,8.4,0.0,85.0477,3.2389,6.8174,16.972,6.8154,2.6567,0.153344,1
41.0893279997508,-8.11289900037978,Viseu,Cinfães,3,25,15.8,62,4.1,0.0,85.0477,2.6079,7.0947,17.548,7.0897,1.9918,0.092096,1
38.7290530003442,-8.64639499982198,Setúbal,Montijo,7,25,29.8,28,12.4,0.0,92.4811,11.3956,11.2251,24.068,11.1523,11.8461,2.161721,0
41.5875,-8.03888888888889,Braga,Cabeceiras de Basto,3,28,16.4,46,17.5,0.0,86.9252,6.6661,7.6108,17.656,7.5759,6.2246,0.692065,1
39.8115479999118,-7.7924400001102,Castelo Branco,Proença-a-nova,8,20,22.2,78,18.4,3.5,76.7373,2.1592,4.5335,18.6724,5.6423,0.9799,0.026238,0
41.2402830002043,-8.22586700015598,Porto,Penafiel,3,2,12.0,72,12.8,1.3,70.5305,1.213,6.6252,16.864,6.6849,0.5957,0.010874,1
38.6745250002543,-8.67053300009833,Setúbal,Montijo,7,17,33.2,29,13.2,0.0,93.0439,12.8401,11.7194,24.68,11.6379,13.2739,2.644083,1
41.9042680001259,-8.75742400010427,Viana do Castelo,Vila Nova de Cerveira,8,18,22.2,56,12.3,0.0,86.3538,4.7305,8.1165,22.0,8.4444,4.6782,0.417456,1
38.0319444444444,-7.84861111111111,Beja,Beja,7,22,31.5,22,3.4,0.0,93.6495,8.5272,11.9719,24.374,11.8743,9.6028,1.490777,1
41.383212000529,-7.61231499989827,Vila Real,Sabrosa,3,24,11.8,69,15.6,0.0,84.5894,4.3726,6.6817,16.828,6.7063,3.795,0.288259,0
41.0363888888889,-8.45694444444444,Aveiro,Santa Maria da Feira,8,30,22.0,59,7.7,0.0,85.8714,3.5057,7.9553,21.964,8.3498,3.3335,0.22914,0
40.8929980002509,-7.80930500030518,Viseu,Vila Nova de Paiva,3,9,7.9,95,24.0,14.4,84.7877,6.8596,2.4849,1.126,1.8456,3.6474,0.268701,0
38.7041666666667,-8.44666666666667,Évora,Vendas Novas,3,31,25.0,27,20.8,0.1,91.8312,15.875,9.2478,19.204,9.1606,14.1467,2.959563,1
41.1379329999288,-8.08075300004747,Porto,Baião,8,13,29.9,42,1.5,0.0,89.3928,4.2383,9.7119,23.386,9.6942,4.4991,0.389582,1
41.8420090002484,-7.66719699998697,Vila Real,Montalegre,3,24,12.7,43,8.0,0.0,86.6309,3.9612,7.3408,16.99,7.3048,3.5551,0.25679,1
41.5596520000034,-8.14695700009664,Braga,Vieira do Minho,3,31,10.4,81,14.3,2.2,69.186,1.2531,4.757,16.576,5.5396,0.564,0.009869,0
40.9264570003086,-8.59348299980164,Aveiro,Santa Maria da Feira,3,14,13.1,62,24.8,2.4,76.6354,2.9596,5.0941,17.062,5.8338,2.1025,0.101351,0
41.2791380002764,-7.19855399979485,Bragança,Vila Flor,8,16,20.7,42,10.8,0.0,88.1126,5.6354,8.6103,21.73,8.651,5.6513,0.583268,0
37.2122222222222,-8.29416666666667,Faro,Silves,4,20,16.6,37,33.8,1.1,82.8746,8.7264,8.7034,18.942,8.6383,8.4467,1.187979,0
41.363666999605,-8.24326000001695,Porto,Felgueiras,3,31,21.0,38,21.8,0.0,89.0175,11.1697,8.3356,18.484,8.2794,10.2298,1.667374,1
41.3522749998834,-8.73182200007968,Porto,Vila do Conde,4,21,12.9,76,17.0,7.2,80.4308,2.8036,3.5543,8.7721,3.5483,1.2506,0.040407,0
39.0486099995507,-8.95,Lisboa,Azambuja,4,13,16.9,65,16.9,0.3,85.0477,4.9706,7.5273,18.996,7.5627,4.647,0.412534,0
41.0444729995728,-7.88089699957106,Viseu,Lamego,3,28,13.4,53,10.2,0.0,85.5531,3.8035,7.1617,17.116,7.1407,3.3453,0.230584,1
41.5469979996151,-7.69231799973382,Vila Real,Vila Pouca de Aguiar,1,2,5.0,59,1.8,0.0,85.0233,2.3147,6.3079,15.604,6.303,1.4304,0.051256,0
41.5482379998101,-6.66279200024075,Bragança,Vimioso,3,14,11.9,59,5.8,0.0,85.0477,2.8412,6.9086,16.846,6.8969,2.2276,0.112264,1
41.4036580000983,-8.46242799970839,Braga,Vila Nova de Famalicão,3,28,19.9,43,16.3,0.0,87.9276,7.2406,8.0404,18.286,7.9961,6.8973,0.829914,1
38.7652799998389,-9.21194000032213,Lisboa,Amadora,7,17,28.8,47,7.2,0.0,88.7061,5.1183,9.7218,23.888,9.7136,5.4598,0.548753,0
